Update Time Stamp,Tested As Of,Daily RTPCR Samples Collected_ICMR Application,Total RTPCR Samples Collected_ICMR Application,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,Source 1,Source 3,Test positivity rate,Test positivity last 7 days,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
10/04/2020 21:00:00,10/04/2020,,,161330,147034,6872,,15663,433,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,,,4.26%,4.54%,21.40,23.48,121
11/04/2020 21:00:00,11/04/2020,,,179374,164773,7703,,17143,600,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,,,4.29%,4.52%,21.39,23.29,135
12/04/2020 21:00:00,12/04/2020,,,195748,181028,8312,,"15,583",544,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf,,,4.25%,4.49%,21.78,23.55,147
13/04/2020 21:00:00,13/04/2020,,,217554,202551,9341,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf,,,4.29%,4.22%,21.68,23.29,163
14/04/2020 21:00:00,14/04/2020,,,244893,229426,10307,,26351,853,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf,,,4.21%,4.34%,22.26,23.76,184
15/04/2020 21:00:00,15/04/2020,,,274599,258730,11297,,28941,953,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf,,,4.11%,4.18%,22.90,24.31,206
16/04/2020 21:00:00,16/04/2020,,,302956,286714,"12,581",,27256,1206,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf,,,4.15%,4.08%,22.79,24.08,227
17/04/2020 21:00:00,17/04/2020,,,335123,318449,14098,,31083,1443,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf,,,4.21%,3.86%,22.59,23.77,251
18/04/2020 21:00:00,18/04/2020,,,372123,354969,16365,,35494,2154,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf,,,4.40%,3.50%,21.69,22.74,279
19/04/2020 21:00:00,19/04/2020,,,401586,383985,17615,,27824,1135,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf,,,4.39%,3.53%,21.80,22.80,301
20/04/2020 21:00:00,20/04/2020,,,,,,,,,,,,,,,,
21/04/2020 21:00:00,21/04/2020,,,462621,447812,,,26943,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf,,,0.00%,3.72%,,,347
22/04/2020 21:00:00,,,,,,,,,,,,,,,,,
23/04/2020 09:00:00,22/04/2020,,,500542,485172,21797,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf,,,4.27%,4.56%,22.26,22.96,376
24/04/2020 09:00:00,23/04/2020,,,541789,525667,23502,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf,,,4.25%,4.65%,22.37,23.05,406
25/04/2020 09:00:00,24/04/2020,,,579957,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf,,,4.22%,4.86%,,,435
26/04/2020 09:00:00,25/04/2020,,,625309,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf,,,4.20%,4.72%,,,469
27/04/2020 09:00:00,26/04/2020,,,665819,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf,,,4.19%,1.59%,,,500
28/04/2020 09:00:00,27/04/2020,,,716733,,,,,,https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf,,,4.11%,4.29%,,,538
29/04/2020 09:00:00,28/04/2020,,,770764,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf,,,4.07%,1.46%,,,578
30/04/2020 09:00:00,29/04/2020,,,830201,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf,,,3.98%,3.55%,,,623
01/05/2020 09:00:00,30/04/2020,,,902654,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf,,,3.86%,3.28%,,,677
02/05/2020 09:00:00,01/05/2020,,,976363,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf,,,3.82%,3.23%,,,733
03/05/2020 09:00:00,02/05/2020,,,1046450,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf,,,3.81%,3.22%,,,785
04/05/2020 09:00:00,03/05/2020,,,1107233,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf,,,3.86%,3.37%,,,831
05/05/2020 09:00:00,04/05/2020,,,1191946,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf,,,3.90%,3.57%,,,894
06/05/2020 09:00:00,05/05/2020,,,1276781,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf,,,3.87%,3.57%,,,958
07/05/2020 09:00:00,06/05/2020,,,1357413,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf,,,3.91%,3.78%,,,1018
08/05/2020 09:00:00,07/05/2020,,,1437788,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf,,,3.92%,4.01%,,,1079
09/05/2020 09:00:00,08/05/2020,,,1523213,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf,,,3.92%,4.10%,,,1143
10/05/2020 09:00:00,09/05/2020,,,1609037,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf,,,3.91%,4.10%,,,1207
11/05/2020 09:00:00,10/05/2020,,,1673688,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf,,,4.01%,4.31%,,,1256
12/05/2020 09:00:00,11/05/2020,,,1759579,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf,,,4.02%,4.29%,,,1320
13/05/2020 09:00:00,12/05/2020,,,1854250,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_13May2020_9AM_IST.pdf,,,4.01%,4.32%,,,1391
14/05/2020 09:00:00,13/05/2020,,,1947041,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_14May2020_9AM_IST.pdf,,,4.01%,4.25%,,,1461
15/05/2020 09:00:00,14/05/2020,,,2039952,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_15May2020_9AM_IST.pdf,,,4.02%,4.27%,,,1530
16/05/2020 09:00:00,15/05/2020,,,2134277,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_16May2020_9AM_IST.pdf,,,4.02%,4.28%,,,1601
17/05/2020 09:00:00,16/05/2020,,,2227642,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_17May2020_9AM_IST.pdf,,,4.07%,4.49%,,,1671
18/05/2020 09:00:00,17/05/2020,,,2302792,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_18May2020_9AM_IST.pdf,,,4.16%,4.53%,,,1728
19/05/2020 09:00:00,18/05/2020,,,2404267,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_19May2020_9AM_IST.pdf,,,4.17%,4.58%,,,1804
20/05/2020 09:00:00,19/05/2020,,,2512388,,,,108121,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_20May2020_9AM_IST.pdf,,,4.24%,4.88%,,,1885
21/05/2020 09:00:00,20/05/2020,,,2615920,,,,103532,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_21May2020_9AM_IST.pdf,,,4.29%,5.10%,,,1963
22/05/2020 09:00:00,21/05/2020,,,2719434,,,,103514,,https://t.me/Covid19india_Auxiliary_Test_Data/99,,,4.35%,5.32%,,,2040
23/05/2020 09:00:00,22/05/2020,,,2834798,,,,115364,,https://t.me/Covid19india_Auxiliary_Test_Data/110,,,4.40%,5.55%,,,2127
24/05/2020 09:00:00,23/05/2020,,,2943421,,,,108623,,https://t.me/Covid19india_Auxiliary_Test_Data/129,,,4.47%,5.70%,,,2208
25/05/2020 09:00:00,24/05/2020,,,3033591,,,,90170,,https://t.me/Covid19india_Auxiliary_Test_Data/146,,,4.57%,5.86%,,,2276
26/05/2020 09:00:00,25/05/2020,,,3126119,,,,92528,,https://t.me/Covid19india_Auxiliary_Test_Data/160,,,4.64%,6.18%,,,2345
27/05/2020 09:00:00,26/05/2020,,,3242160,,,,116041,,https://t.me/Covid19india_Auxiliary_Test_Data/177,,,4.65%,6.08%,,,2432
28/05/2020 09:00:00,27/05/2020,,,3362136,,,,119976,,https://t.me/Covid19india_Auxiliary_Test_Data/194,,,4.70%,6.15%,,,2522
29/05/2020 09:00:00,28/05/2020,,,3483838,,,,121702,,https://t.me/Covid19india_Auxiliary_Test_Data/211,,,4.75%,6.17%,,,2614
30/05/2020 09:00:00,29/05/2020,,,3611599,,,,127761,,https://t.me/Covid19india_Auxiliary_Test_Data/228,,,4.80%,6.27%,,,2710
31/05/2020 09:00:00,30/05/2020,,,3737027,,,,125428,,https://t.me/Covid19india_Auxiliary_Test_Data/236,,,4.87%,6.36%,,,2804
01/06/2020 09:00:00,31/05/2020,,1624406,3837207,,,,100180,,https://t.me/Covid19india_Auxiliary_Test_Data/253,,,4.97%,6.48%,,,2879
02/06/2020 09:00:00,01/06/2020,89644,1714050,3966075,,,,128868,,https://twitter.com/ICMRDELHI/status/1267665101781266433?s=20,,,5.00%,6.56%,,,2976
03/06/2020 09:00:00,02/06/2020,84339,1798389,4103233,,,,137158,,https://twitter.com/ICMRDELHI/status/1268030064467165184?s=19,,,5.05%,6.62%,,,3078
04/06/2020 09:00:00,03/06/2020,84519,1882908,4242718,,,,139485,,https://t.me/Covid19india_Auxiliary_Test_Data/294,,,5.11%,6.79%,,,3183
05/06/2020 09:00:00,04/06/2020,86201,1969109,4386379,,,,143661,,https://t.me/Covid19india_Auxiliary_Test_Data/313,,,5.17%,6.87%,,,3291
06/06/2020 09:00:00,05/06/2020,88580,2057689,4524317,,,,137938,,https://twitter.com/ICMRDELHI/status/1269111826618302464?s=19,,,5.22%,6.90%,,,3394
07/06/2020 09:00:00,06/06/2020,57905,2115594,4666386,,,,142069,,https://t.me/Covid19india_Auxiliary_Test_Data/340,,,5.28%,6.75%,,,3501
08/06/2020 09:00:00,07/06/2020,98544,2214138,4774434,,,,108048,,https://t.me/Covid19india_Auxiliary_Test_Data/355,,,5.39%,7.31%,,,3582
09/06/2020 09:00:00,08/06/2020,95480,2309618,4916116,,,,141682,,https://t.me/Covid19india_Auxiliary_Test_Data/374,,,5.41%,7.24%,,,3688
10/06/2020 09:00:00,09/06/2020,98838,2408456,5061332,,,,145216,,https://t.me/Covid19india_Auxiliary_Test_Data/388,,,5.45%,7.22%,,,3797
11/06/2020 09:00:00,10/06/2020,101669,2510125,5213140,,,,151808,,https://t.me/Covid19india_Auxiliary_Test_Data/402,,,5.51%,7.31%,,,3911
12/06/2020 09:00:00,11/06/2020,105017,2615142,5363445,,,,150305,,https://t.me/Covid19india_Auxiliary_Test_Data/419,,,5.56%,7.40%,,,4024
13/06/2020 09:00:00,12/06/2020,102911,2718053,5507182,,,,143737,,https://twitter.com/ICMRDELHI/status/1271652968694075393?s=09,,,5.62%,7.49%,,,4132
14/06/2020 09:00:00,13/06/2020,67013,2785066,5658614,,,,151432,,https://t.me/Covid19india_Auxiliary_Test_Data/448,,,5.68%,7.26%,,,4245
15/06/2020 09:00:00,14/06/2020,126437,2911503,5774133,,,,115519,,https://t.me/Covid19india_Auxiliary_Test_Data/472,,,5.77%,7.81%,,,4332
16/06/2020 09:00:00,15/06/2020,128725,3040228,5921069,,,,154935,,https://t.me/Covid19india_Auxiliary_Test_Data/490,,,5.79%,7.80%,,,4442
17/06/2020 09:00:00,16/06/2020,132885,3173113,6084256,,,,163187,,https://t.me/Covid19india_Auxiliary_Test_Data/509,,,5.82%,7.69%,,,4565
18/06/2020 09:00:00,17/06/2020,129434,3302547,6249668,,,,165412,,https://t.me/Covid19india_Auxiliary_Test_Data/525,,,5.88%,7.78%,,,4689
19/06/2020 09:00:00,18/06/2020,138171,3440718,6426627,,,,176959,,https://t.me/Covid19india_Auxiliary_Test_Data/543,,,5.93%,7.78%,,,4822
20/06/2020 09:00:00,19/06/2020,137386,3578104,6616496,,,,189869,,https://t.me/Covid19india_Auxiliary_Test_Data/562,,,5.98%,7.75%,,,4964
21/06/2020 09:00:00,20/06/2020,77194,3655298,6807226,,,,190730,,https://t.me/Covid19india_Auxiliary_Test_Data/577,,,6.05%,7.62%,,,5107
22/06/2020 09:00:00,21/06/2020,153451,3808749,6950493,,,,143267,,https://t.me/Covid19india_Auxiliary_Test_Data/594,https://twitter.com/ICMRDELHI/status/1274913260559577090?s=19,,6.14%,8.14%,,,5215
23/06/2020 09:00:00,22/06/2020,147291,3956040,7137716,,,,187223,,https://t.me/Covid19india_Auxiliary_Test_Data/610,https://twitter.com/ICMRDELHI/status/1275277617864699906?s=19,,6.17%,8.19%,,,5355
24/06/2020 09:00:00,23/06/2020,150413,4106453,7352911,,,,215195,,https://twitter.com/ICMRDELHI/status/1275632600481067008/photo/1,https://t.me/Covid19india_Auxiliary_Test_Data/628,,6.20%,8.05%,,,5516
25/06/2020 09:00:00,24/06/2020,146088,4252541,7560782,,,,207871,,https://twitter.com/ICMRDELHI/status/1275995927824588802,,,6.26%,8.10%,,,5672
26/06/2020 09:00:00,25/06/2020,153175,4405716,7776228,,,,215446,,https://twitter.com/ICMRDELHI/status/1276356899642859520,,,6.32%,8.22%,,,5834
27/06/2020 09:00:00,26/06/2020,153298,4559014,7996707,,,,220479,,https://twitter.com/ICMRDELHI/status/1276720050066452481,https://t.me/Covid19india_Auxiliary_Test_Data/686,,6.37%,8.21%,,,5999
28/06/2020 09:00:00,27/06/2020,90237,4649251,8227802,,,,231095,,https://twitter.com/ICMRDELHI/status/1277084645016797190,https://t.me/Covid19india_Auxiliary_Test_Data/712,,6.44%,8.04%,,,6173
29/06/2020 09:00:00,28/06/2020,168342,4817593,8398362,,,,170560,,https://twitter.com/ICMRDELHI/status/1277441381988921344,https://t.me/Covid19india_Auxiliary_Test_Data/740,,6.54%,8.63%,,,6301
30/06/2020 09:00:00,29/06/2020,171411,4989004,8608654,,,,210292,,https://twitter.com/ICMRDELHI/status/1277811671281446913,https://t.me/Covid19india_Auxiliary_Test_Data/774,,6.59%,8.87%,,,6459
01/07/2020 09:00:00,30/06/2020,165921,5154925,8826585,,,,217931,,https://twitter.com/ICMRDELHI/status/1278172186612609025,https://t.me/Covid19india_Auxiliary_Test_Data/804,,6.64%,8.91%,,,6622
02/07/2020 09:00:00,01/07/2020,177160,5332085,9056173,,,,229588,,https://twitter.com/ICMRDELHI/status/1278529927797551104,https://t.me/Covid19india_Auxiliary_Test_Data/830,,6.68%,8.91%,,,6794
03/07/2020 09:00:00,02/07/2020,183381,5515466,9297749,,,,241576,,https://twitter.com/ICMRDELHI/status/1278893457470222337,https://t.me/Covid19india_Auxiliary_Test_Data/866,,6.75%,9.05%,,,6976
04/07/2020 09:00:00,03/07/2020,186322,5701788,9540132,,,,242383,,https://twitter.com/ICMRDELHI/status/1279256992754790405,https://t.me/Covid19india_Auxiliary_Test_Data/882,,6.81%,9.17%,,,7157
05/07/2020 09:00:00,04/07/2020,102514,5804302,9789066,,,,248934,,https://twitter.com/ICMRDELHI/status/1279624025497427968,https://t.me/Covid19india_Auxiliary_Test_Data/920,,6.88%,8.97%,,,7344
06/07/2020 09:00:00,05/07/2020,210089,6014391,9969662,,,,180596,,https://twitter.com/ICMRDELHI/status/1279980092995694592,https://t.me/Covid19india_Auxiliary_Test_Data/946,,7.00%,9.57%,,,7480
07/07/2020 09:00:00,06/07/2020,206263,6220654,10211092,,,,241430,,https://twitter.com/ICMRDELHI/status/1280347767114629120,https://t.me/Covid19india_Auxiliary_Test_Data/975,,7.05%,9.72%,,,7661
08/07/2020 09:00:00,07/07/2020,205708,6426362,10473771,,,,262679,,https://twitter.com/ICMRDELHI/status/1280707600015749120,https://t.me/Covid19india_Auxiliary_Test_Data/1000,,7.10%,9.75%,,,7858
09/07/2020 09:00:00,08/07/2020,214410,6640772,10740832,,,,267061,,https://twitter.com/ICMRDELHI/status/1281068228542738432,https://t.me/Covid19india_Auxiliary_Test_Data/1022,,7.16%,9.83%,,,8058
10/07/2020 09:00:00,09/07/2020,220582,6861354,11024491,,,,283659,,https://twitter.com/ICMRDELHI/status/1281436467487629312,https://t.me/Covid19india_Auxiliary_Test_Data/1048,,7.21%,9.77%,,,8271
11/07/2020 09:00:00,10/07/2020,207819,7069173,11307002,,,,282511,,https://twitter.com/ICMRDELHI/status/1281794800195301376,https://t.me/Covid19india_Auxiliary_Test_Data/1066,,7.28%,9.80%,,,8483
12/07/2020 09:00:00,11/07/2020,121324,7190497,11587153,,,,280151,,https://twitter.com/ICMRDELHI/status/1282160902507130881,https://t.me/Covid19india_Auxiliary_Test_Data/1091,,7.34%,9.43%,,,8693
13/07/2020 09:00:00,12/07/2020,254734,7445231,11806256,,,,219103,,https://twitter.com/ICMRDELHI/status/1282518284718358528,https://t.me/Covid19india_Auxiliary_Test_Data/1108,,7.45%,9.98%,,,8858
14/07/2020 09:00:00,13/07/2020,249260,7694491,12092503,,,,286247,,https://twitter.com/ICMRDELHI/status/1282888590230319104,https://t.me/Covid19india_Auxiliary_Test_Data/1132,,7.51%,10.14%,,,9072
15/07/2020 09:00:00,14/07/2020,246359,7940850,12412664,,,,320161,,https://twitter.com/ICMRDELHI/status/1283242773781467136,https://t.me/Covid19india_Auxiliary_Test_Data/1159,,7.55%,10.08%,,,9313
16/07/2020 09:00:00,15/07/2020,236139,8176989,12739490,,,,326826,,https://twitter.com/ICMRDELHI/status/1283601928279080960/photo/1,https://t.me/Covid19india_Auxiliary_Test_Data/1177,,7.62%,10.22%,,,9558
17/07/2020 09:00:00,16/07/2020,245724,8422713,13072718,,,,333228,,https://twitter.com/ICMRDELHI/status/1283977904246845442,https://t.me/Covid19india_Auxiliary_Test_Data/1189,,7.69%,10.37%,,,9808
18/07/2020 09:00:00,17/07/2020,240339,8663052,13433742,,,,361024,,https://twitter.com/ICMRDELHI/status/1284329467804966912,https://t.me/Covid19india_Auxiliary_Test_Data/1208,,7.75%,10.29%,,,10079
19/07/2020 09:00:00,18/07/2020,139173,8802225,13791869,,,,358127,,https://twitter.com/ICMRDELHI/status/1284689929360928771,https://t.me/Covid19india_Auxiliary_Test_Data/1225,,7.82%,9.99%,,,10347
20/07/2020 09:00:00,19/07/2020,237985,9040210,14047908,,,,256039,,https://twitter.com/ICMRDELHI/status/1285050262583865355,https://t.me/Covid19india_Auxiliary_Test_Data/1236,,7.96%,10.76%,,,10539
21/07/2020 09:00:00,20/07/2020,252017,9292227,14381303,,,,333395,,https://twitter.com/ICMRDELHI/status/1285414282545393664,https://t.me/Covid19india_Auxiliary_Test_Data/1258,,8.03%,11.04%,,,10789
22/07/2020 09:00:00,21/07/2020,257257,9549484,14724546,,,,343243,,https://twitter.com/ICMRDELHI/status/1285783025494581249,https://t.me/Covid19india_Auxiliary_Test_Data/1284,,8.11%,11.28%,,,11047
23/07/2020 09:00:00,22/07/2020,244935,9794419,15075369,,,,350823,,https://twitter.com/ICMRDELHI/status/1286141514586836993,https://t.me/Covid19india_Auxiliary_Test_Data/1314,,8.22%,11.69%,,,11310
24/07/2020 09:00:00,23/07/2020,257793,10052212,15428170,,,,352801,,https://twitter.com/ICMRDELHI/status/1286510593147510785,https://t.me/Covid19india_Auxiliary_Test_Data/1342,,8.35%,12.42%,,,11575
25/07/2020 09:00:00,24/07/2020,240722,10292934,15849068,,,,420898,,https://twitter.com/ICMRDELHI/status/1286867899387281408,https://t.me/Covid19india_Auxiliary_Test_Data/1361,,8.44%,12.60%,,,11891
26/07/2020 09:00:00,25/07/2020,145033,10437967,16291331,,,,442263,,https://twitter.com/ICMRDELHI/status/1287231590263734273,https://t.me/Covid19india_Auxiliary_Test_Data/1375,,8.51%,11.99%,,,12222
27/07/2020 09:00:00,26/07/2020,272964,10710931,16806803,,,,515472,,http://twitter.com/ICMRDELHI/status/1287592304845320192,https://t.me/Covid19india_Auxiliary_Test_Data/1397,,8.54%,11.59%,,,12609
28/07/2020 09:00:00,27/07/2020,276664,10987595,17334885,,,,528082,,https://twitter.com/ICMRDELHI/status/1287966108058677249,https://t.me/Covid19india_Auxiliary_Test_Data/1415,,8.55%,11.05%,,,13005
29/07/2020 09:00:00,28/07/2020,271658,11259253,17743740,,,,408855,,http://twitter.com/ICMRDELHI/status/1288314973576245249,https://t.me/Covid19india_Auxiliary_Test_Data/1427,,8.63%,10.96%,,,13312
30/07/2020 09:00:00,29/07/2020,288560,11547813,18190382,,,,446642,,http://twitter.com/ICMRDELHI/status/1288670449858048002,https://t.me/Covid19india_Auxiliary_Test_Data/1445,,8.71%,10.73%,,,13647
31/07/2020 09:00:00,30/07/2020,290235,11838048,18832970,,,,642588,,http://twitter.com/ICMRDELHI/status/1289043276205457410,https://t.me/Covid19india_Auxiliary_Test_Data/1464,,8.71%,10.14%,,,14129
01/08/2020 09:00:00,31/07/2020,239760,12077808,19358659,,,,525689,,https://twitter.com/ICMRDELHI/status/1289405341722001408?s=20),https://t.me/Covid19india_Auxiliary_Test_Data/1478,,8.77%,10.11%,,,14524
02/08/2020 09:00:00,01/08/2020,175763,12253571,19821831,,,,463172,,https://twitter.com/ICMRDELHI/status/1289776921459359745,https://t.me/Covid19india_Auxiliary_Test_Data/1492,,8.84%,10.49%,,,14871
03/08/2020 09:00:00,02/08/2020,254035,12507606,20202858,,,,381027,,https://twitter.com/ICMRDELHI/status/1290136251295657986,https://t.me/Covid19india_Auxiliary_Test_Data/1508,,8.93%,11.24%,,,15157
